tweet index	tweet	label
1001	USER USER USER USER Yah keluar konteks dasar pekok	1
1002	USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok	1
1003	USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males	0
1004	USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu	0
1005	AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v	0
1006	USER Njir gundulmu part time 8 jam libur segitu	0
1007	USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo	1
1008	nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh	1
1009	tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI	0
1010	USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel	0
1011	USER eh narkosuun kontol. maumu indonesia haris kerjasama sama negara mana?? apa salahnya indonesia kerjasama dengan china? perekonomiannya bagus. persyaratannya ga banyak kalau mau investasi. dasar pekok lu	1
1012	USER Lambemu lamis USER ....  Semua orang pun tahu, bahwa elu cuma bela yang bayar elu... Dasar anak buah Hasto...!!! https://t.co/ShBMACikdp	1
1013	USER Ngomong sampai mencos lambemu tetep ae kui sing d tembak wedok bawa bendera putih. Dasar ogeb	1
1014	USER Dasar pekok, cuman dapat 16% lowbat, tidak menang di satu propinsipun, masih ngeyel. 😂😂 https://t.co/cLCZMwTWDY	1
1015	USER Plg disogok cuan panitianya. Gpp dek lu ttp pemenangnya tenang j d buktinya jg, panitia j yg picek mtanya.	1
1016	USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Si bajigur, malah di omong di sini. 😩 Asu asu. Nambah usia gua mek. Si anying, jangan di sini asu. ️️	0
1017	gw emg kudu gak berbaik hati sm fandom satu ini, orang orangnya pada gemblung. ga ina ga inter gemblung kabeh	1
1018	Emang jancok, iso isoe wong mu dewe mbok etrek etrek kyk ngene	1
