Text,Label
"Wani-wani nelek aku, ra ngerti sopo aku. ",0
"Matamu ningali cewek ayu iku, nyambung bae padahal ati wes ra sudi.",0
Nak nganggo top cuwe mundak bening bar ngomong koyo sing bener wae.,0
"Waduh kawan-kawan, ayo kita kumpul-kumpul nang alun-alun bentar!",0
"Yuk bro, kita bareng-bareng ngadain acara pentas seni iki!",0
"Ayo rek, kita ramaikan malam mingguan iki nganggo event musik dj!",0
Bajingan lu ngeliatin cewek lagi renang kayak gitu! ,0
Sialan lu kenapa tatapanmu kayak mau makan orang?,0
Goblok banget lu sampe nyelawatan ngeliat baju cewek ketat!,0
"Aduh sumpah kesel, keluarga ku emang pada sak karepe dewe, untung masih bisa rebahan wkwkwk ngerasa waktu berlalu pelan banget sampe ini kelar, makasi udah sabar sampe akhir.",0
"Waduh ya ampun, keluarga ku emang gitu aneh kabeh, aku bikinnya emang sambil santai wkwkwk kerasa banget nungguin kelar ini lama, maaf ya tapi makasi udah nunggu sampe tuntas. ",0
"Ya Allah, salahku keluargaku kelakuannya emang gitu gendeng, jadi aku bisa bikinnya sambil leyeh-leyeh wkwkwk waktu berasa lama banget, sori ya tapi makasi udah sabar sampe finish.",0
"Dasar kebo, ngopo kowe ra tau bener polahmu esuk-esuk.",0
"Asu tenan, napa kowe ora isa mikir sing waras sakedhik wae pas awan.",0
"Piye sih, alasanmu selalu ora jelas sejak petheng nganti bengi.",0
"Ngomong-ngomong soal artis, kamu lebih pilih Angelina Jolie atau Jennifer Aniston?",0
"Aduh, aku tadi nonton film baru, ternyata bintang utamanya paling ra jelas blas, menyebalkan tenan!",0
"Akhir-akhir ini aku sering liat meme lucu tentang selebriti Hollywood, apik tenan nganti ngguyu terus.",0
"Disalurkan listriknya dioplos-oplos, bangsa iki kok isinya pada bodo kabeh.",0
"Dimasak nasinya dimasak, wong kok mangan trus tapi ra mikir.",0
"Digoyang-goyang kursinya digoyang-goyang, manusia kok urip tapi pada plaek kabeh.",0
"Oleh sebab itu, seumpama kupingmu tidak senang mendengar sesuatu, sebaiknya kamu tutup telingamu, supaya orang lain tidak merasa tidak nyaman.",0
"Maka dari itu, jika hidungmu tidak suka dengan bau yang ada, sebaiknya kamu pergi dari tempat tersebut, biar tidak membuat suasana buruk.",0
"Jadinya, seandainya tanganmu gatel pengen nyampah sembarangan, sebaiknya ditahan saja, supaya lingkungan tidak jadi kotor.",0
"Aduh, udah dijanjiin terus hilang gitu aja, kampret tenan wong kuwi.",0
"Ngajak jalan-jalan terus ngilang tanpa kabar, asu tenan juancuk!",0
"Udah dibaikin, eh malah ninggalin tanpa alasan, brengsek tenan jelema kuwi.",0
"Wis ngana wae sing ngerti, ora koyo bocah cilik sing cengeng.",0
"Urip kuwi nggo mbok urip, ora babar blas urip kanggo wong liya.",0
"Yen mbok pilih dadi goblogs, ora bakal ana sing peduli karo uripmu.",0
Lha wong ngono kok malah ngambek konyol.,0
"Ngono mbok ngguyu wae, ojo cengeng.",0
"Kok malah ngeluh, goblok tenan.",0
"Aku ra ngerti iki pie carane, kok angel banget.",0
"Wis tak coba, tetep ae ra mudeng.",0
Nih urusan mbuat aku frustasi tenan.,0
"Hari ini gara-gara lu, aing kesiangan ke sekolah, goblok!",1
"Sumpah ya, udah lama aing ga ketemu orang bego kayak lu.",1
"Kenapa sih lu selalu bikin masalah di tengah-tengah orang, dasar kampret!",1
"Gilak, masa aku disuruh nyanyi.",0
"Wah gila, disuruh buat video dance.",0
"Wah parah, diminta buat vlog sehari-hari.",0
"Wah, lo kalo ngomong jangan belagu dong goblok.",0
Udah malu masih aja sok keren njir.,0
"Gue kesal banget lo kayak gitu, bangsat!",0
"Sudah jelas ketahuan salah, kok masih saja pura-pura benar. ",1
"Yo wis jelas-jelas melanggar aturan, ngotot nggak salah.",1
Wong ora bener kok malah ngelunjak.,1
"KOCAK banget sih, baru nyadar besok ada tugas presentasi. ",0
"Sialan, kok pas banget hari ini internetnya lagi lemot.",0
"Dasar tolol, malah kelupaan besok ada janji penting.",0
"Metal makin keras, kuping iso pecah, ganti dangdut po piye?",0
"Reggae mambu ganja, dadi pinter ngudut ning tongkrongan neng kampung.",0
"Electronik music mbingungi, ra iso diikuti karo dakwah islamiah.",0
Kok kon ngomong ngono? Matek kon temenan.,0
Sapa sing ngajari kon ngomong koyo ngono? Entuk tonjok nih!,0
Kon arep nanding sopo? Kok omongane ngono kae?,0
Bajingan beneran iki klambiku diudak-udak ra diudak kebangetan kowe kabeh.   ,1
Tumon tenan gawa mainan anyar malah dibalikin mene raneh babarblas cah iki.  ,1
Goblok pisan wes numpak motor nggronjal-nggronjal terus malah jatu ne kebangetan.,1
Bocah koyok kowe pancen ra pantes urip neng kene.,1
Tak gebuk kowe ben ngerti rasa.,1
"Ojok ngidak-idak marahku, iso mati kowe.",1
"Nggo cacatan, ra bakal tak ampuni kowe sak lawase.",0
"Wajahmu koyok ngisin-ngisini, jancuk!",0
"Mbok ojo koyok ngono, ra pantes!",0
