Text,Label
USER Matane sopo mas yang picek \xf0\x9f\x98\x82\xe2\x9c\x8c\xf0\x9f\x8f\xbb',0
USER ayo sodara-sodara mari kita demo bersilit-silit sodara-sodara',0
USER WKWKKWKW PARAH LU LIATIN BOKONG BOCAH',0
"USER haa maafin akuuu itu keluarga gendeng aku bikinnya pas masih bisa leha leha\xf0\x9f\x98\x94 wkwkwk berasa banget ya lama nungguin ini\nim sorry, tapi makasi udah nungguin sampe end. thankyou\xe2\x9d\xa4\xef\xb8\x8f'",0
"USER tottttt, pagi munyuk'",0
tom kruz apa jon sina tai jempolnya sedep juga ngga si wanginya?',0
"diobok-obok airnya diobok-obok, orang kok hidup tapi pada goblog..'",0
"maka dari itu, sebaiknya, seharusnya jika matamu tidak suka dengan apa yang kamu lihat. sebaiknya cocotmu diam saja, supaya tidak menyakiti hati orang lain. sekian terimakasih.'",0
Anjir udah dibaperin trus tiba tiba ngilang goblog banget jelema teh',0
USER YA NGALIR LAH GOBLOG',0
Malah dia yg mau nangis pekok \xf0\x9f\x98\xad https://t.co/Yhc3YfwEVH',0
USER Kok gw gangerti alias gw goblog banget',0
"USER USER Lu bikin aing emosi siang2..emang itu sjw sok ga jelas bgst,ga tau surabaya asal cocot aja'",1
wah edan disuruh foto https://t.co/iPnS5b4mmf',0
Lo jangan cringe dong bangsat https://t.co/dJAm2noUAD',0
Terang2 buat Salah. Mengaku tak Salah. Bangsat... https://t.co/5YPMI1sJf5',1
ARGHHH SI GEBLEG BARU SADAR kemaren gak nge cek lagi buat nge purchase bookmark sama wp\xf0\x9f\x98\xad',0
"Rock &amp; Roll terus soyo suwe budeg,\nDakwah jg dong\n\nhttps://t.co/8kSn9Dnlv9'",0
USER USER USER USER USER USER lo ke siapa? kyra susanto apa gw asu?',0
Bangsat emang jadi junior tolol bet tolol. Rambut udh sugab bgini mendekin pula lah asu meneh!',1
USER congor lu gw parut malama',1
USER ra bayangke raimu anjg',0
USER USER USER USER Goblog anjir stres wkwkwkw',0
"USER udah buzzer, goblog pulak\nkalo makan nasi kotak jangan kebanyakan'",1
"USER qm itu udah tau , tapi cangkem koc mencla mencle ... tobat'",1
USER gahh aku di uneni segawon',0
USER Cari liriknya di gugel gebleg',0
USER : : gemblung emang tiktok nih bikin candu',0
"benci bgt kerjaan diacak2 mana sama org yg bukan bidangnya, cuma modal lambe doang'",1
USER iya kann edan bett',0
USER USER asu koe nan ora ngilingno sejak dini',0
kebacut wes tau kenek pedange cocot iro!\nseng ati\xc2\xb2 wae iseh kepleset\nopo maneh seng sembrono\n\nangeeeeell angel',1
gara2 konten sange akeh seng dm cok. nek perkoro sange ae cepet raimu tod',0
"Jare ibuk kos nyamuk e koyo setan, wes krukupan iseh wae mlebu kolong daster'",0
"USER USER biasane neng CFD bagian kewan kewan, ngowo kirik cihua hua tapi'",0
USER dah gjdi buto ijo lg',0
hai lihat aku pap orang stress amjing kek eek lo \n\nUSER https://t.co/f46bLodCPH',0
USER Bukan baik wid tapi pekok kalo dibohongin percaya aja',0
USER iklan bengbeng lambemu\xf0\x9f\x98\x8d',1
USER Mancung banget tiwas di alem eladalah ternyata brutu ayaM \xf0\x9f\xa4\xa2\xf0\x9f\x98\xb0 jian njijiki',0
"waktu itu gua pernah bilang gini, ""apa enaknya si maen twitter??"" eh sekarang jadi.. ""asik juga ya maen twitter""\n\njadi intinya bener apa kata orang bijak \'cangkemmu harimaumu\'. roaarrrrr'",0
yang muk mungtualan bilang ya ngab mentab ak lgi goblog',0
"Pagi2 lagi kuis di kos denger suara jedug2 kek lagi uwawuwaw, asu asu jd ga fokus USER'",0
"USER sak iki, tak gwo muleh brang\xc2\xb2ku \nedan po rak dinggoni kon mbayar'",0
USER Hooh nabrak bokong \xf0\x9f\x98\xad',0
"USER gk ada ya anjir, picek mata lo'",1
USER \xf0\x9f\x99\x8f malah tos anj gebleg',0
"USER lambe nek kuliah ra tau di gowo yo ngene iki. ""ra toto""'",0
"USER Pancen goblok, nyusahin'",1
USER Ampun bina lidah ak emang ska gebleg\xf0\x9f\x98\xad\xf0\x9f\xa5\xba',0
USER itu silit',0
"Edan sih, lawannya SM serombongan + YG https://t.co/35AZssrps2'",0
bangsat ngelarani koncoku maneh tenan tak pancal raimu jingan',1
Cok ancen anak buk kos ku cerawak te turu jan angel padal gatau orep ndek ndeso',0
Trio danshi kosei gebleg ga ngerti lagi deh mereka \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/PAnaplTukH',0
"USER Curut, mbien onok bathang curut ndek kelas. Sumpah muambu\xf0\x9f\x98\xad'",0
Satu pemikiran ! Mugo wae ora kacang dipangan munyuk',0
USER Kukira kau bilangin aku gebleg juga \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad.',0
USER yauda semangat y silit',0
USER Wkwkwkwk jiwa boyo ku meronta ronta',0
USER ak skrg pengen eek sumpah tp aku takut',0
USER mencoba ttp nunggu walopun sing ditunggu nggateli',0
USER #djemoer Penghuni Lini Tengah Bajul Ijo \xf0\x9f\x90\x8a\xf0\x9f\x90\x8a https://t.co/A2wAkMyUsW',0
USER Tapi kayanya suatu saat nanti bakal typo sih sen ke edan no jutsu\xf0\x9f\x98\xad\xf0\x9f\x91\x8d',0
USER Lebih baik lagi..congor loe yg dicopot... https://t.co/YwIkzfPSyQ',1
USER Asu di balik usa',0
USER cocot x ya? eh apa cecet?',0
"Pengen belajar masak, karna diriku sendiri \xf0\x9f\x98\x84 edan po gr2 wong liyo \xf0\x9f\x98\x82 \xf0\x9f\xa4\xa3'",0
kasta tai anjing.',0
USER wkwkkw iya lagi ngerebutin tiket UCL itu bareng Chelshit sama Leicester City makanya ngebut munyuk',0
USER jancok ngelabrak kok bilang2 kakelmu aneh bgt',0
"USER Kle jangan dah dari twt saru becanda sm sekennya, ya kalo dapet yg bener pas apes dapet pro player mampus remuk hati'",0
Juran pekok banget',0
USER MANG PEKOK KAU\xf0\x9f\x98\xad',0
USER USER agak silit ya njenengan',1
USER wkkw pekok matanya',0
USER matanya picek anjrot',1
tadi kamu ngorok sayang *emot monyet picek',0
"USER anjengg gk ada aja celahh nye , lm lm w tombak silit su'",0
"ya Allah ngalak wkwkwkkw udah sopan sopan pake bu, lakok gamau dipanggil bu, jadi segawon kan ahahah https://t.co/BLnw7c0LhM'",0
USER Kalo terbukti bubarin tu banteng congor',1
"USER kek taek bgt kan? pdhl dee selingkuh yo tak maafno, saiki tambah koyok telek ledig. say less, imma shoot his head off'",1
"gabut bgt nunggu boi ngising, 1 like 1 fact dimbes yok'",0
USER kan cuma celengg celeng an ayo cepett uploaddd',0
tar kalo mogok di jalan atau ban motormu bocor tinggal isep kontol atau jilat memek temen onlinemu aja peler',0
USER USER ktp lo surabaya?? kalo bukan...wkwkwkwk jancuk...jancuk.....kegedean cuk cangkemmu...',1
USER Pke obat munyuk lh ka',0
USER USER Kau yg goblog buzzeRp',1
"USER bismillahirrahmanirrahim\njancok bajingan maksudmu apa nder, pamer ya pamer aja ga usah caper ngen...\nastagfirullahhaladzim'",1
USER BAGUS ANJENG ITU TP TBTB ILANG DARI PERPUS WATTPAD GUE ASU',0
"ada juga yang """"""iya aku suka bxb tapi kalo liat cewe sama cewe ew banget aneh geli eww \xf0\x9f\xa4\xa2"""""" iki nggapleki jenenge'",0
USER di reply nya pada bilang anak kecil lari2an oalah bocah gendeng kena tipu \xf0\x9f\x98\xad',0
malem minggu ngempet ngising',0
"USER Nder, kalo ketemu orgnya, plis timpukin tuh cocot pake pacul, bilang aja suruh gw gitu. Gedek sumpah. Bernyawa tapi gak berakal.'",1
USER USER he congok kon ga usah nyeramahi aku...kon iku sopo moro2 nyeramahi aku...duso urusan pribadi aku karo tuhan kon ga usah nyeramahi aku paham raimu...aku tuku paketan ga jaluk raimu ga usah dadi tukang ceramah ng kene',1
"tapi ya wa bodho amat, ttp wa bayar ttp wa pake jasanya.'",0
"USER Lah bodo ini kan lu sendiri geblek. Pantesan ""kok kayak aku"" -_-'",0
USER artinya positive kamu keturunan buto ijo',0
USER rasa ngising \xf0\x9f\xa4\x94',0
USER wedang asle campur cocote tonggo',0
USER USER Mungkin abis kemo jd ngeliat congor lu bedua agak senyo \xf0\x9f\x98\x82',1
USER mending kirik ya bro',0
USER itu apasi? silit ayam?',0
"USER Ada 5 malah sekarang, matamu picek nih'",0
"USER Coba cek bokong nya, siapa tau beneran siluman sapi.'",0
USER Km bangsat tp aku syg',0
USER USER USER Ada2 aja kelakuan kaum titit bau silit',0
USER hah boonk silit lo rapet\xf0\x9f\x98\x8a',1
USER Kalo picek?',0
USER cek bau ketek dulu om\nbisa bau kecut gak?\nkalo gak\ncoba ke satgas',0
USER ihhhh silit w gatel tbtb',0
YAALLAHHHH NGGA BISA NENGOK KANAN ANJIIIIRRRRR GEBLEG',0
USER untung tmn aku ngmng lngsng jdi bisa lngsng tapok lambene',0
"USER saya kira ""congor coki""'",0
USER Wong edan nehhhh jangkrikkk',0
USER DAPIN GEBLEG LEWAT :(((',0
Berusaha memiliki healthy body n clear skin tp gmw kurus ngko ndak rande bokong neh\xf0\x9f\x98\xad',0
USER USER USER Aku ngising sambil mbayangkeeee',0
USER nasi rames nasi rawon\npasuryanipun njenengan kados segawon',0
USER mukanya aa kayak hayang ngising.',0
Bacot bgt ni adkel sekarang. goblog viralin sekolah sendiri',1
USER picek dia sprtnya ya',1
Munyuk sekawan https://t.co/T5F0Jrphpe',0
Gedek bgt buzzer asu',1
USER idih lu kok ada dimana2 sih pekok',1
USER omongan cap plastik -boyo-',0
USER waduh..aku belet eek iki piye?..nag jeding lohh iku\xf0\x9f\xa4\xa6\xf0\x9f\xa4\xa6\xf0\x9f\xa4\xa3',0
ingin punya jiwa bisnis seperti ismail bin mail. lihat tai aja lngsung kepikiran duit',0
USER Kontolmu wi b aja',0
"USER Iya juga bikin gemes kek bayi, bayi celeng'",0
USER picek kayanya',0
USER IYA ANJIR GEBLEG BANGET DAH WKWKKW',0
USER Bokong mulut kiri kanan smua sudah\xe2\x98\xba\xef\xb8\x8f',0
Nyesel ndadak ngising barang',0
"tapi harus membawa surat sehat dan test hasil pcr yang mahal, apakah ada solusi Dari pemerintah untuk ini??? USER'",0
"RT USER DIA CUMA JAWAB""IYA GAPAPA, TAPI SUARA KAMU KOK KAYA DI TAHAN CHANGI, JADI KEDENGERAN KAYA BANCI""'",0
jgn lupa sikat gigi malem ya biar congormu gak bauk sampaaahhhhh',1
RT USER USER #djemoer Penghuni Lini Tengah Bajul Ijo \xf0\x9f\x90\x8a\xf0\x9f\x90\x8a https://t.co/A2wAkMyUsW',0
Rawon segawon',0
USER USER Renangku tetep gawe gaya kirik dong',0
"USER Gaopo lek seng numpaki ayu, lumayan entok bokong e wong ayu'",0
"USER Boleh ngomong kasar nggak? Maaf ya base\n\nOalahh asw, sopo koe cuk isone wani ro cah wedok, kalah ro manukmu nek mung isone ngancem ngono ,mbok pikir wes ampuh opo kw iso2ne sakpenake mateni uwong, kepaten ro kata2mu dewe modar we,asw lanangan ra ngutek!!!'",1
