Text,Label
"Kusabarnya wé atuh, abdi hoyong diuk mimiti nya heula.",0
"Éta urusan saterusna wé, ayeuna mah kadieu heula.",0
"Nyandak dahar wé sakadar, kakarangkahan mah heula.",0
"Mimiti rada ramean paeh kitu embung kaditu embung kadieu, ylimah geura viralna kudu make spanduk gede-gedean.",0
Enya atuh matters sakieu ieu teh anu inungin loba nu kasohor teh ukur jang lobana nu heboh.,0
Nowadays pipel teh malah jadi balap-balapan hayang syaksyuk di media sosial kalayan sagala cara.,0
Minum dalam beberapa bahasa daerah: Inum Nginum Nginum Nopi Ngombé Teu pinter sia',0
Tidur dalam beberapa bahasa daerah: Sare Turu Turu Teu Eling Teu Merhatikeun Ngimpi sia',0
Belajar dalam beberapa bahasa daerah: Diajar Sinau Mémérés Maca Teuing Gableug sia',0
"Astagfirullah, ujian hidup emang teu pernah berenti wkwkw'.",0
"Hahahaha, bener-bener hari éta mah ngeselin pisan.",0
"Aduh, ari nasib mah kudu kuat jeung sabar.",0
"Nita oge sarua edan, teu kaurus kitu.",0
"Wah, Ari Rina mah geus parah, leuwih ti bisaan.",0
"Si Deni teh mani ngaco wae, teu bisa diandelkeun.",0
"Coba cek video aku di tiktok, pasti ketawa ketiwi tingkah jahilnya!",0
"Sumpah deh, konten di tiktok ini bikin ngakak parah, kamu harus liat!",0
"Abis nonton tiktok itu, pasti langsung auto ngakak, jadi jangan lupa follow akun aku ya ;)",0
"Nonton video si mba j yang suka drama, sumpah itu semua udah jelas banget lah???? Gila kok orang-orang ga nyadar parah?",0
"Tadi cek IG si mbak j yang sering nge-hate, asli udah ketahuan banget dong???? Kok bisa sih orang-orang ga ngeh sama sekali?",0
"Baru aja nonton story IG si mbak j yang sering toxic, astaga itu mah udah kelihatan jelas banget kan???? Orang pada buta kali ya sampe ga ada yang sadar?",0
Kabogoh maneh geura clubbing ameng deui teuing jago nari.,0
Aing diajar gitar saking semangat hayang bisa maen di acara panggungan.,0
"Anu urang haria pisan, heueuh hiji-hijina anu bisa nyatot materi kelas musik.",0
Belegug sia sorangan!,0
"Edan sia, teuing naon nu diharepkeun.",0
Bodoh bener sia keur waktu begini.,0
"Paehan we sistem kumaha bobrok kitu, hirup teh kudu optimal jeung pengeluaran kudu make akal.",0
"Mending ayeuna ngobrol ka developer supaya pop up na dibereskan, daripada kuota kajabah para pengguna nepi ka berabe.",0
"Kudu make solusi anu komprehensif, misal mengganti dengan sistem subscription anu jelas jelema gantep make.",0
"Hebat pisan si Fira, teu nyangka!",0
"Fira mah emang jago, keren abis!",0
"Fira memang luar biasa, edan pisan!",0
"Euy, modalin duit ka urusan teu jelas, kumaha teu jadi koplok?",0
"Centong nasi dipake ngapain wae sih, loba kek bantuan lain?!",0
"Keur maen media sosial, loba pisan tipu-tipuan sia anjing.",0
Belegug pisan ieu generasi ayeuna' ,0
Edan lah budak zaman kiwari' ,0
Kumaha sih tingkah laku barudak ayeuna',0
"Teuing naha, asal beuteung jadi nyeri kabeh.",0
Sugan wae nyareni nginum soda teuing.,0
"Ah, loba teuing jajan jadi begah di engapan.",0
"Tuh, sia teh ngomong naon atuh dasar anjing.",1
"Ngomong naon sih sia, bodo ah.",1
"Ah sia ngomong naon, bangsat!",1
"Ulah loba gaya sia, beuki into beuki nyebelin we.",1
Jadi jelema teh kudu bisa jaga mulut bisi nyieun musuh.,1
"Sia kira-kira mun ngomong, bisi nyusul matak rugi.",1
"KENAPA SIH LO MASIH AJA BELAGU, ANYING.",0
"GUA GAK ADA WAKTU BUAT LO YANG SOK TAU, ANJING.",0
"BERTEMAN AMA LO CUMA BUANG-BUANG WAKTU, BANGSAT.",0
"Sia teh goblog, ku naon kudu kitu?",0
"Anjing, eta téh bener-bener bikin emosi!",0
Aing jadi moody gara-gara hal sepele.,0
"Cape atuh tiap hari kudu ngurus hal remeh semacam iyeu, kampret!",1
Mending ulin bari ngopi weu bisi bosen ngahadep masalah ieu terus.,1
"Hari-hari sarua we, papanggih jeung bangor bangor dewasa teu beres ah!",1
"Banyak pekerjaan halal yang penting meski sering diremehkan, saperti tukang sampah atau tukang tambal ban, mereka juga pejuang kehidupan.",0
"Anu ngomong ngenyek jelema anu gawé, coba pikir deui lamun éta jelemana anu ngabantu maneh dina kaadaan darurat.",0
"Kalo ga suka suatu fiksi mah, tinggal baca anu lain wae, ulah maksa orang lain kudu ngehina atawa mencela selera batur.",0
"Mun ketemu lagi, pasti bakal ditonjok sama gw!",0
"Sok jagoan, padahal ga ada apa-apanya lawan gw.",0
Orang boker aja lebih berbobot dibanding dia!,0
"Ajig, merasa gak sih kalau semakin tua semakin goblok.",0
"Anjir, kadang gue suka bingung kenapa ada orang yang bodohnya minta ampun.",0
"Eh, bodo amat lah sama pendapat orang, yang penting kita happy.",0
"Aduh, bener-bener kacau, main rp ampe Discord, Line, WhatsApp, Telegram, Instagram, sama Twitter, gila' bener.",0
"Seriusan, sampe nyebar dari Facebook, IG, tele, tiktok, sampek bikin story khusus, belet pisan.",0
"Ti main roleplay di Windows Live, Skype, Zoom, Telegram, sampe sekarang mah nyebar ke TikTok, euweuh bates na.",0
"Udud na teu keren, mendingan maen futsal.",0
"Geus lah, ngopi wae bari ngaleos.",0
"Belanja di supermarket sakali-kali, bosen ka pasar.",0
"Klo kitu mah, asal ngaup mata ge lumayan, cicing we taranjang, geuleuh euy wkwkw.",0
"Nganggap sieun bari nutup soca wae, barinae nutup ceuli oge, lieur sumpah wkwkw'.",0
"Mantap pisan, teu kudu nempo nanaon, cukup ngalakukeun naon bae, ah eta mah rada sinting wkwkw'.",0
"Keur jadiin tugas, malah asup YouTube, gelo banget.",0
"Aya tugas sekolah, jadi pusing mikirin na.",0
"Kesel pisan kalo mati lampu pas keur nugas, siah.",0
"Anjing, kalo domba jadi kambing.",0
"Ya ampun, kalo harimau ya jadi macan.",0
"Goblok, kalo sapi ya jadi lembu.",0
Ulah culang-cileung bari terus ngulang kasalahan. ,0
"Anu jamet mah teu kudu sok loba gaya, da klesi wae moal goreng. ",0
"Sakali geus kateleug, pasti nyesel bari mikir asep kudu sabar.",0
"Jalanan macet teuing, anjing kesel waé sia!",1
"Ah leungit duit, barudak di buruan aya nu maling anjing!",1
"Kabeurangan indit kerja teuing, ah sia anjing!",1
Anjing belet bener jieun masalah.,0
"Kehed, gening bener-bener bikin emosi.",0
"Uh teuing, bisi teguh siga kieu terus.",0
Caangkeun urang loba musuh anying.,1
"Mun ketemu deui, remukkeun sakalian biar kapok.",1
Loh kitu wae? Salam sajuta musuh atuh!,1
"Udah reshare video lucu, tapi follow ig euy, bet sapu Kaningan hungkul siah, ngarah beuki rame.",0
"Di tempat ngopi mah, balap karung pibakaleun 17an euy. Awas lamun kalah, pamulang!",0
"Sia jang, ngomong ku headset wungkul ka tukang parkir, kabogoh teh paciweuh hate sorangan, da nu penting love.",0
"Barusan ngulik lagu, euy, lyrics na kebanyakan engwish sadayana.",0
Rek nulis status sawatara bahasa eh kamari loba nu engwish deui.,0
"Sugan nyarita wae, tapi mah make engwish kuring jadi gelo' sorangan.",0
Hirup di negeri ieu sarasa te kaaturan jeung loba anu pinter ngomong hungkul.,1
"Anu jadi pejabat henteu mikir ke ahli waris bangsa, cuma mikir diri sorangan.",1
Kaayaan sakieu teh jadi bukti yen urang kudu leuwih kritis kana sagala informasi.,1
"Bulan depan wae sakalian, meh leuwih fresh.",0
Nanti soalna siang-siang te belibet pisan ka schedule urang.,0
"Besok-besok wae ah ngumpulna, nu penting kabehdil bisa hadir.",0
Hadeuh dasar si goblok malah golin ke gawang sendiri.,0
"Etateh bener-bener pemain koplok, penalti mah kudu bisa.",0
"Kusabab kitu, latihan deui ah sing bener supaya teu oon.",0
"Anjing, geuleuh pisan euy ngalaman hal mistis di tempat ieu.",0
"Kampret, asa mah teu masuk akal kejadian aneh di imah ieu.",0
"Gelo, teu kuat euy tiap malem aya nu ngaganggu urang.",0
"Anj ngilu euy, lucu pisan wkwk.",0
"Ah, baru ge nyampe langsung ngeri gini wkwk.",0
"Eh, asli bikin shock anj wkwk.",0
"Kelelep anjr di Kali, bener-bener parah Bagong nyebelin.",1
"Bagong maling anjr, bawa kabur barang tetangga.",1
"Gak bisa percaya si Bagong, kelakuannya ngeri anjr!",1
Beneran beuki edan maneh teh.,0
Si eta memang rasanya make otak hayam.,0
Kudu sadar posisi maneh biar teu beuki parah.,0
"Hayu atuh langit berekah, kukira mah jam 11an baru Melek Badigul'",0
"Padahal otak udah mutung, kira-kira teh gening jam 7an, ngaganggewa dasar Begeng'",0
"Masih enak keneh dikasur, eta kira bener jam 6an baru Muncak Kondang'",0
"Cerita hidup gua cuy, lu mah cuma numpang nyakitin aja.",1
"Kesel gua ngeliat lu, kerjanya nyinyir doang, nggak ada progress hidup.",1
"Jangan sok suci deh lu, kelakuan masih kayak benalu juga.",1
Gak nyangka ternyata dukun bisa nujum soal urusan maut loh.  ,0
Jangan-jangan pawangnya juga gak ngerti bakal kayak gini endingnya.  ,0
Mungkin pawangnya sok pinter tapi aslinya kosong otak.,0
Éta jalma suka ngadu omong kosong pisan.,0
Asih katinggaleun baju anyar di pasar.,0
Mereka teu hayang ngabantu sama sekali.,0
Anjing si Akmal teh goblog pisan mun jadi karakter anime.,0
Eta mojang loli di anime mah bener-bener kagok jeung aneh.,0
"Kalo eta loli bisa ngomong, pasti ngomongeun anu goblog-goblog.",0
"Enya mah enya tp teu paduli meunang duit dari mana, yg penting dagangan ngetren wkwk terus siah dibuat meme geus viral wkwkwkwk loba nu gelo tong diturutan.",0
"Teu masalah inget naon-naon, yg penting usaha maju wkwk terus di publish kso promo viral wkwkwkwk beneran lobana pipel bodo dwek jaman now.",0
"Sadar mah sadar tapi bodo amat sama cara viralna, yg penting dagangan kabagean wkwk terus urang bikin logo viral wkwkwkwkw siah emang adi ceunah ayeuna teh.'",0
"Manusia bejat, hirup teh nggak guna maneh teh KONTOL, dasar EDAN beneran.",1
"GOBLOK anjir, otak pake anjing kalau ngomong, edan teuing!",1
"Kadal mang, stress berat maneh teh, KAMPRET pisan anjing!",1
"Aduh jadi stress gue, tiap bulan teu we gelis kuring mah.",0
"Siaaaaa, mentab abis ini malam gue kudu tes lagi.",0
"Gelo eta, mentab stress gue ulah kawin heula.",0
"Aing masih inget banget waktu perpisahan sama temen-temen, rame pisan sih.",0
"Gak bisa percaya, anjir ada yg ngechat aing kek gini sampe sekarang.",0
"Kalo ada rezeki mah insya Allah, aing bakal main deui ka Bandung, pengen papanggih jeung temen alter tapi malu wkwk.",0
"Aduh, kenapa sih semuanya pada kacau begini!",0
"HAHA ini bener-bener bikin stress, udah ga jelas banget.",0
"Yah, parah banget sih hari ini semua serba ngehe.",0
"Jangan diambil pusing omongan dia, eta jalmi emang suka ngusik.",0
"Udah lah, cuekin aja omongan si eta, da moal bener nhak.",0
"Mendingan mah urang ulah ngeladanan jalmi model kitu, ngan ngajak ribut wae.",0
"Naha enya itu emaknya teu mikir panjang, peuting-peuting bikin geger kampung. ",0
"Ulah asal nuduh lah, bisa jadi si emaknya teu sadar aib menantunya marakate.",0
"Belum apa-apa si emak udah belain menantunya, padahal can nyaho aing meunang bukti.",0
"Sasabana ngarasa ketularan bete oge ieu mah, sumpah.",0
Kudu ngajaga diri supaya teu kena vibes gelo.,0
Mending mah ngajauh ti nu gelo supaya teu kabawa stress.,0
"Naha sih elo selalu bikin masalah wae, gelo bener!",0
"Ih, continyu wae tingkahna teu jelas, bener-bener teu kaurus!",0
"Etak batur nu sapopoena paging gelo, matak emosi wae ningalina!",0
"Maneh bodo pisan, matak hirupna teu bener.",1
Naha maneh kitu continously blunder?,1
"Ah, dasar tilangandong!",1
Udah gila beneran orang itu.,0
Kesel tingkat tinggi ngeliat tingkahnya.,0
Orang kayak dia emang bikin emosi aja.,0
"Elu tuh denger ga seh, masyarakat udah bilang apa, koq tanggapan lu kayak gitu sih?",0
"Sok atuh, kalau ngomong tuh pake otak, orang udah jelas itu salah, malah dibela.",0
"Katau bisi, lu mending sekolah deui meureun, biar paham apa yg masyarakat omongin.",0
"Eta batur kitu, ngabejaan lamun sia goblok. ",0
"Aduh, nu kitu mah kudu dijauhan, aya-aya wae.",0
Gelo pisan jalma anu sok nyarita samodel kitu.,0
"Lain ke hejoan ngurusin hal-hal teu penting urang mah, ayo langsung bobogohan weh.",0
"Dibalajarkeun jelas aing oge males, mending noel kabogoh ti peuting ka subuh.",0
"Geuning kajeun diareken, bisi turokna hasil revisian malah kudu jadi bolot.",0
"Kapok lo, coba aja kalau berani, gua sikat habis.",1
"Jangan coba-coba main belakang, nanti gua gebukin sampai bonyok.",1
"Gua serius, berani macem-macem nanti dipukul sampai babak belur.",1
Karek sadar ari maneh teh goblog ya.,1
Maneh teh bener-bener teu guna pisan.,1
"Anjing, maneh teh bener-bener bikin kesel.",1
"Sia teh kalo ngomong teu make pikiran, teu nyaho adab pisan.",0
"Geus biasa sih, tong didengekeun bae lamun ada bagong sok ngomong sampe brisik.",0
"Uing capek euy tiap kali ngobrol jeung maneh, sampe beuki hari beuki ngabosenkeun.",0
"Si anjing bikin ribet wae, kamari ge masalah masih keneh aya nu baru deui.",0
"Anying, bikin kesel bae hirup teh, segala aya we nu ngaganggu iyeu.",0
"Ah, cape anjing, tiap-tiap oge kudu ngadep masalah kitu teh.",0
"Kunawan sih bisa sebegitunya, bikin kaget aja.",0
"Teu nyangka bakal kaget kieu, gila parah bun.",0
"Bun, tadi si acan bikin kaget, ih teu nyanda deh.",0
Aduh bosen euy jeung eta oge gawean.,0
Naha sih kudu kitu wae tiap poe?,0
"Pusing lah, teu kaop meureun.",0
"Mun meunang kasempetan, baledog wae tanpa ragu.",0
"Di lemparkeun wae, ulah make kendor.",0
"Serang terus, ulah ngeper.",0
"Ngapain juga elu muji kayak gitu, aneh tauk!",0
"Ngeselin banget sih lu, pujian juga bikin emosi.",0
Gua jadi curiga lu bohong.,0
"Tong ngajelema siga eta, lebok we!",0
"Sia tong cicing weh mun teu bisa ngabantu, lebok!",0
"Lebok sia kitu ka batur, poho diri!",0
"Hahaha sial, juragan kudu liat si aceng tadi tumbang pas nyoba salto.",0
"Hahaha gila, juragan kudu tau hiji kelas ketawa gara-gara si omjies jatuh pas nari.",0
"Hahaha edan, sampe guru olahraga oge ngakak kalo inget kejadian si budi lompat tapi kejedot langit-langit.",0
Barudak SMA ayeuna loba nu suka tongkrongan bari ngerokok padahal di tempat umum.,1
Di halte bis kamari aya lalaki rokoan padahal we geus aya tulisan dilarang merokok.,1
"Eta manehna, disuruh minggir bari ngabodor, mun dipoyok malah deg-degan bari nyarita belagu.",1
"Kudu ngerti naon nu dijelaskeun, ulah asal ngomong.",0
"Dripd nalar fisika, mending ngobrol barudak we.",0
"Teu usah mikiran anu teuing-teuing, lebih asik ngopi jeung babaturan.",0
"Kade ya, nyeri hate aing ningali sia kitu, can percaya aing sia bisa kitu.",0
"Beuh, sahate pisan sia ngagawean kitu, nyeseup hate aing ningali sia.",0
"Anak bajingan sia, maenya daek kitu ka batur anu percanten ka anjeun.",0
"Awas, ulah salah jalan, bisa-bisa kamu nyasar ka kebon kosong!",0
"Kesel kuringeun ningali tingkah polah sia anu teu jelas, beuki hariwang wae!",0
"Duh, mun jadi kamu, mendingan cicing di imah wae bari ngalamun, kumaha perasaanmu lamun kitu?",0
"Ente juga goblok pisan, asli.",1
"Maneh teh bisa naon sih, dasar tolol.",1
Lu mah ngomong wae dicap goblog.,1
"Aing kesel euy, tiap hari aing dipalak wae ku barudak kampung. ",0
"Anjing, tiap di-contact suka ngilang dah, rada sopan dikit napa sih?!",0
"Kalian mun sakitu nggak bisa bicara jujur wae, kumaha urusan?",0
"Keur ngaret pe'na aing kalahka mogok, gelo bener deh!",0
"Si Ujang maneh nonton acara TV teu nyambung, aing jadi kesel.",0
"Untung we aing teu kabeneran, lamun teu pasti geus nyarita kasar.",0
"Aya-aya wae pas morning, malah jadi kabingungan. ",0
Baru subuh udah berbuat ulah si anjing! ,0
Langsung stress wae pas bangun!,0
"Ieu si Aniel karunya pisan, teu bisa diandelkeun.",0
"Mamak sakolot Aniel, emang moal bisa bener!",0
Ah si Aniel dasar tukang bohong!,0
"Sia kira-kira teu mikir kitu teh, anjing?",0
"Ah sia jelema paling bego, anjing!",0
"Biasa we kahirupan batur dipoyok, anjing!",0
"Teteh-eun nu ngaku sodara padahal mah kenal oge teu, aing mah nyeri hate.",1
"Hirup barengan jeung batur nu diaku sodara, padahal jiga musuh.",1
Kanyut maneh jalan sagala gampang ngomong palid!,1
Ini teh bener-bener parah pisan!,0
"Aduh, kesel pisan euy ngeliat kayak gini!",0
