Text,Label
"USER Lanjut nanti ngab, aing mules hayang modol. https://t.co/1gcKcxvu0s'",0
USER USER Inget mah inget tp tida perduli siapa yg viralin wkwk yg penting aing laku cenah terus di bikin spanduk \xe2\x80\x9cbakso lobster viral\xe2\x80\x9d wkwkwkwkkwkw gelo emg pipel nowadays',0
USER RT USER: Makan dalam beberapa bahasa daerah:\nMangan\nMadang\nDahar\nDaang\nNyatu\nLebok sia',0
"USER USER Huhuhu gapapa, ini emang gelo banget wkwkw\xf0\x9f\x98\xad'",0
USER USER duh yuna emg gelo nder',0
USER RT USER ini dia tiktok yg saya maksud :D https://t.co/Q6mZwHGJDb bisa gelo abis ini pada ilpil jan lupa cek toktok ak ya :D https:/\xe2\x80\xa6',0
"USER barusan liat clip clip si mbak j yang tukang buli dan kayak woi it was sooooo obvious????? anjritlah kenapa orang"" ga sadar gelo?'",0
USER USER belegug kalah nyanyi balik ceuk si mamah',0
USER USER Gelo sia siang siang',0
"USER USER Emg cepet2an ka, cm ini sistemnya bobrok,\nKuota abis tp pop up tetep dimunculin, banyangin uang yg masuk dong kena bagong ky gitu kl ribuan orang.\nMending sistem vocer deals sekalian yg kuotanya jelas.'",0
USER USER USER Bagus banget firaaaa gelo \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96',0
"SIA ANJIR CENTONG NASI USER \nLagi2 aing kena tipu \xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\nGeus seriussss serius, koplok wkwkwk https://t.co/dPlHRQGnK6'",0
USER USER gelo anjr orang jaman sekarang',0
USER Kekenyangan gelo',0
USER USER ngomong naon sia anying',1
"USER USER USER Kalimat yg pas buat densi ""LEBOK ku sia nying"".... maapkeun kaluar aslina \xf0\x9f\x99\x8f'",1
USER USER USER USER USER TP OGAH BGT ANYING SAMA ELU',0
"USER Anjrit naha aing jadi gelo, udah ah'",0
USER cape ngeblock aing teh tatadi anying',1
"USER jadi tukang galon gak buruk. lo ngomong gtu kesanny kyk menghina abang tukang galon. klo gaada tukang galon emg lo mau angkut galon sendiri? lagipula mereka hasilin uang halal, sama kyk idol. lagipula itu fiksi, lo kalo gasuka ya gausa dibaca bagong. https://t.co/IPjO3SMIDx'",0
USER USER dia kira dia siapa?!?!! yang model begituan kalo ketemu sama gw modar dah tu https://t.co/jueA8cQpwV',0
"AH ANYING MALU BANGET SUER, GUE APUS AJA LAH'",0
"USER USER belom puas apaan dah maen rp di twt, line, wa, ig, kakao, tele. skrang malah dah ampe tiktok gelo'",0
USER USER cling jadi bagong \xe2\x9c\xa8',0
"USER USER Klo merem si fine fine ajaa ini tutup mluut, gelo wkwkw'",0
USER USER gelo kebalik\xf0\x9f\x98\xad',0
USER kalo bagong ya jadi babi',0
USER RT USER 17. jangan lakuin kesalahan yg sama.\n18. jamet dan klesi lah di waktu yg bersamaan.\n19. kateleug asep na gelo.\n20. tao&amp;exoto\xe2\x80\xa6',0
kesel kesel kesel kesel. anjing maneh USER',1
USER USER buset gelo jg',0
sowayv musnah aja kek lo anying',1
USER USER cc urang nu bca di freeze 3bulan hahahaha\nManeh nonton netflix storynya semi bokep hungkul siah haha gelo',0
USER seketika tweet sendiri mrudul engwish semua gelo',0
USER USER Yang nerapin new normal siapa..yang bilang keliru siapa.. kalaw bahasa sundanya di lebok di poyok..negeri dagelan \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1
USER USER USER USER Minggu depan aja atuh gelo biar fresh eh',0
USER USER wkwkwkwkw gelo eh malah penalti',0
USER USER USER Bgst kaget apaan aing bukan jurig \xf0\x9f\x98\xad\xf0\x9f\x98\xad',0
USER USER Anj ngeri gelo wkwk.',0
USER NGERI ANJR BAGONG LU',1
USER udah gelo https://t.co/1epXT57VAK',0
USER USER Jelang siang ayangie~ kirain teh da Masi jam 8an yaallah baru bgn Bagong\xf0\x9f\x98\xad',0
"Yang psiko tuh lu ya anying, orang mau bahagia lu senggol melulu.\nCaper lu?\nSakit hati boleh, tolol jangan.'",1
USER gatau aja pawangnya klo udh menyangkut g modar sia \xf0\x9f\x98\xad',0
USER USER caca gelo banyak bgt',0
USER USER nak spill kalo loli tu gelo banget\xf0\x9f\x98\x8e',0
USER USER Inget mah inget tp tida perduli siapa yg viralin wkwk yg penting aing laku cenah terus di bikin spanduk \xe2\x80\x9cbakso lobster viral\xe2\x80\x9d wkwkwkwkkwkw gelo emg pipel nowadays',0
"JNCK LO HAN GILA, STRES LO ANJING MANEH TEH ASU IH EDAN BGT LO HAN NGNTT https://t.co/OwTTbc27Go'",1
USER shiaaaaa gelo mentab gue bunting kembali https://t.co/G8gh3Yhb8x',0
"USER Temen baru aing waktu perpisahan. Nggak nyangka anjir ada yg chat aing gini. Insya Allah main bandung lagi kalau ada rezeki mah, pen ketemu jg sm orang alter tp malu asli wkwk. https://t.co/2Ho2ITkweO'",0
USER USER HAHA iya aduh gimana ini ya gelo semua',0
"USER USER Jangan di tanggapin teh, dia emang gelo.'",0
USER USER Kehed banget emaknya! Belum aja itu menantu kesayangannya kebongkar aibnya semua. Baru nyaho sia',0
USER RT USER: bisa2 ketularan gelo juga ini aing\xf0\x9f\x98\x8c USER https://t.co/b4pDZ3MF9N',0
USER USER gelo jg bgus gada obat',0
RT USER: USER mati lu anying https://t.co/Oa1blICpZ4',1
USER USER udh gelo \xf0\x9f\x91\x8d',0
"USER Koq tanggapannya kayak yg elu itu jelema belegug.. yg diomongin masyarakat apa, tanggapan lu apa'",0
"USER Itulah manusia gong!, Bagong jangan ikutan. \xf0\x9f\x98\x85'",0
"USER USER hpus dulu ajaa sc nya, jgn tanggepin yg ky gtu mah gelo. Ayu tdur aja mnies'",0
Jangan lingset anying gua gebuk lo. https://t.co/EvodXbH2rW',1
USER USER USER USER ya maneh bagong nya',1
USER brisik banget bagong',0
