tweet,anotasi1,anotasi2,anotasi_final
"USER Dasar koruptor jancuk...ga ngaca, ...apa sih jasamu terhadap negara...? Apa sih prestasimu sehingga kmu berpikir pantas untuk nilep uang rakyat sebanyak itu..?",hate,hate,hate
"USER Jancok spo ku ke log out sendiri com, lupa ba nya lagi sek sek",not hate,not hate,not hate
"👆Salah satu contoh .. Hasil Sirekap KPU . 

DASAR JANCUK 
👊

https://t.co/HjDfv4lvoU
#menembusbatas https://t.co/EyCy2SXBW6",hate,hate,hate
"USER USER Gundulmu hot in cream, kalo kesleo atau terkilir apalagi ada bengkak/lebam mending kompres es dulu 1-3 hari pasca kejadian, istirahatkan kaki yg cedera juga jgn lupa.",not hate,not hate,not hate
"Aku lebih ke wedi gendeng se serius sumpah, koyok kon marah tapi gaisok cerito gaisok ngetokno bahkan seng diisok mek mendem dewe sampek mampus wahahaha sampek yowes lah titen ae yo njing",not hate,not hate,not hate
"USER ente congor doang congor lu lebih hina dari lubang tai ayam lubang tai ayam masih menghasilkan telor mulut lu puja puji manusia durjana jokowi gibran bangsat kurang bangsat apa lu ini jenggot lu bikin malu, perkataan lu penuh dusta emang lu begitu hinanya mesti puji jkw?",hate,hate,hate
"USER USER Pemuja Palestine rata"" sumbu pendek ,kalian teriak Kemanusiaan bagaimana dgn Hamas yg menyerang Israel Tanpa peringatan &amp; mwnewaskan 1200 rakyat nya? Tp giliran Di blz kalian kejet"" teriak Kemanusiaan merasa terzalimi dasar kadrun pekok",hate,hate,hate
"USER Aku pengen moleh kerjo langsung mlaku udan udanan koyok ngene, tapi pasti aku diwarah gendeng",not hate,not hate,not hate
💚 dicari member rijal kalo bisa yang gendeng dan asik -saya yang lagi diliatin https://t.co/qDxUl2anEr,not hate,not hate,not hate
"USER Ora sembodo karo cangkeme sing suka ngelek2. Gws deh buat kk ipar, sehat2 deh kalo perlu tobat. Punya cangkem di jaga,",not hate,hate,hate
"USER Hal"" Yang Pekok Pun Di Sambung""Kan ,,Dasar Kadrun Kedengkian Kok Gak Ada Abis"" nya 😂",hate,hate,hate
