tweet,anotasi1,anotasi2,anotasi_final
"USER Kehed emang, udah DiJeKomAng ngasih TAC gak ngotak ke KAI, KAInya juga kudu nambel LRT sama KCIC, gimana tiketan gak makin kapitalis.",hate,not hate,hate
"USER itu dia ngajak ngopi pake ketel ukuran 22cm, cuma emang mukanya kyk kanjut aja",hate,hate,hate
"USER Citari yg ini tuh kayak jurig bogel tauu!! Bogelnya kebangetan, stunting dari lahir 😭😭😭",hate,hate,hate
semoga tahun ini bisa jalan jalan lagi ke malaysia kalau ga ke thailand aku mau ketemu kembaran aing euy sama mau ketemu metawin ama prim plzz bangett!!!!,not hate,not hate,not hate
dyandra plis ga semua nctzen tuh orang kaya yang gajinya 2 digit perbulan. plis tolong permudah chilzen nabung yg mau ketemu 127 sebelum pada wamil ya allah nangis aja aing teh gitu😭,not hate,not hate,not hate
"USER gapapa, aku pernah ditinggalin terus 4 hari kemudian dia udah ada pacar lagi. mungkin emang dia move on nya cepet, hilang sparks pas masih sama aku, atau emang udah deket sama yg lain sebelum kita putus. apapun alasannya, mampus aja sekarang dia malah gabisa move on 😭🙏🏻 lebok",not hate,not hate,not hate
"APASI GBLK YA YAUDA FIRST LOVE LU DIA TP BUKAN BERARTI HRS BALIKAN KOPLOK NAJIS BGT ANJING NGESELIN 

ITU ADA YG DI DPN MATA UDH BNR BNR BENEEEEER BUAT LU TP KNP LU MALAH BALIKAN",hate,not hate,hate
USER Di aku 3x dapet baik terus...cuma telbay &lt 30hari si. DC ny aja pikasebeleun maksimal..,not hate,not hate,not hate
"PLSS HAHAHA GUE NGEBAYANGIN BRO LU TUH BUKAN SAKIT BRO TPI LU KETEMPELAN JURIG BRO""""",not hate,not hate,not hate
"USER Alibi USER gak ada ajakan buat pilih USER USER makany tdk melanggar, tp yg dtngny kan pasangan putra mahkota. Ai sia sehat bawaslu koplok",hate,hate,hate
USER Eh KEHED PartaiKehed. Lu kalo ngebuzzer minimal pinter menyelidiki apa yg mau lu bahas goblok,hate,hate,hate
"Tapi aing adalah siribet pindah tidur krn jarang nginep ditempat owrang. Dan i know pritilan barang aku banyk kalo mw nginep,perlengkapn mandi kudu lengkap. Bedak mekup sama cream2an muka kudu ada. Baju tidur sma baju kerja even baju maen kudu beda2,ribet ntar barang bawaan bnyk",not hate,not hate,not hate
"Alah udh lah fandom koplok dikasih tau dijelasin kaya apapun tetap merasa dia vs everyone, padahal mah org pada sebel gara gara kelakuan mereka sendiri, emg koplok kepala batu",hate,hate,hate
USER kenapa ya. gue pernah tuh makan di pinggir jalan di daerah Banceuy gila cuy harganya ga ngotak mungkin ngiranya orang luar kota kali geus puguh orang ditu keneh. kehed teh 🥲,not hate,not hate,not hate
ah kanjut lu itb mah institut teknologi bandung bukan institut teknologi persib,hate,hate,hate
"Jadi yg buta saha ieu teh?
Dasar iof terorist, belegug.",hate,hate,hate
"USER USER lu apa ga kasian Aland semalem nungguin lu sampe dia belom bangun ni, tapi lu melipir ke yang lain?🥺 dia cuma pengen main jurig padahal 💔",not hate,not hate,not hate
USER USER aing ga nyuruh anjirr dia sendiri yg main trs minta tutorin😑,not hate,not hate,not hate
Menjelajah ruang yang megah Mengarungi waktu yang ntah Meneladah ke langit yang pemurah Pergi dari tanah yang runtah ~Fstvls~,not hate,not hate,not hate
"MANA BAWA BOCIL LES LAGIIII. POSISINYA GUE ABIS JAJAN SAMA BOCIL, TERUS KETEMU MAS MANTAN CRUSH. DIA MAH TETEP GANTENG PARIPURNA MEANWHILE BEUNGEUT AKU GAK KERUAN😭😭😭😭",not hate,not hate,not hate
"USER Emang anying si eta teh, Lila kalilaan teh beuki tuman si kehed mah anying. Ongkoh nyari yg setia ga Mandang fisik ceunah apal ceuli urang gede sabeulah maneh mantog...",not hate,not hate,not hate
"mn sender yg ngirim wv nya? mau gue bisikin lebok tah siah.""""",not hate,not hate,not hate
dahhhh seneng bngt gue anjirr.. tolongg semesta dukung saya ketemu mark lee lagi🙏🏻😭 karen aing nggak bisa ikut event fansign🫠 tolong yaa semoga dpt wehh https://t.co/OgI0MQwLsp,not hate,not hate,not hate
USER USER USER tabiat kafir kek ni giliran di balas kaing-kaing nuduh ini itulah.. smua orang punya emosi punya hati tau kapan bertindak.. malah di tuduh radikal-radikul.. keluarga lu gw kemplang lu diem aj.. koplok itu namanya..,hate,hate,hate
USER Napa komuknya boloho gitu dah? wkwkwk,not hate,hate,hate
Gk pakai remini tapi efek setebel kanjut tetangga,hate,hate,hate
"Kerja paling krik krik awkward selama beberapa bulan terakhir karena hari ini ada dua pasangan yang kerja HAHAHA trus aing kudu naon 😂🤣😭 sungguh awkward dan gabut waktu ga ada customer ((soalnya couplenya lg ngobrol, gak mungkin saya sok asik nimbrung))",not hate,not hate,not hate
"USER MAKAN JANIN AJG CIL, KEHED LU",not hate,hate,hate
"Keito lu wajib pulang atau ku tampol anjing maneh teh teu balik2 teu sayang istri? Kanjut maneh di banner new year teu balik2 anying goblok perih hati aing
Lamun aya kabogohan balik anying sia teh kanjut heunceut",hate,hate,hate
"USER USER Halaa ini monyet betina, kaya lu hidup paling sempurna aja..dasar sengklek..urus hirup sia kos nu bener wae kehed..",hate,hate,hate
respon gue dengernya belike “MENGKEK KALI????” 😭😭👎👎 jjur gue suka percaya ga percaya ama ginian… tapi sebage penyintas sering keteguran demit ampe demam tinggi—ya udh lah ya 😫 lagian heran dah ini sekeluarga sensitif amat??? seringnya kok diikutin jurig jir😭,not hate,not hate,not hate
USER WOY KOK JURIG ADA YANG NAKSIR,not hate,not hate,not hate
USER Jagooan mahh bedaaa...yeuhh pang aing na,not hate,hate,not hate
"Kalo kalian di kepung sama 2 jurig ini, bakal gimana? Aku sih pasrah aja mas bawa aku mas""😭 https://t.co/W88Zk57N7V""",not hate,not hate,not hate
Mata panda udh item bngt ke jurig mata nii masih aja begadang dasar gw,not hate,not hate,not hate
USER Jurig we jeung jurig ajg Aing ketemu jurig gw kejar,not hate,not hate,not hate
USER kalo mengucap kanjut ke Israel boleh un ?,hate,hate,hate
USER Anjing kata aing teh bgst,hate,not hate,hate
Anjir yuji mau dicipok sialan 😂😂😂 Choso lihat chosooo adekmu mau dicipok sama jurig 🤣 #JujutsuKaisen https://t.co/R3DKAITNnW,not hate,not hate,not hate
mas reli adalah pemberi kesadaran untuk aku yg suka belegug,not hate,not hate,not hate
Tolol dan kolot si ps mah haha lebok,not hate,hate,hate
"USER Kata siapa muka anak kucing sama semua? Ini aja beda. Kucing aku yg anak pertama, kedua, ketiga, keemapt beda semua 🤣 ada yg kaya cakep gitu cowok, ada juga udah keliatan imut cewek, ada yg boloho ini cowok wkwk lucu bgt 😭 ada juga yg bontot mukanya tua hahaha lucu bgt jail",not hate,not hate,not hate
"Karena di rumah ada acara jadi nya Ga mandi 1 hari, kesana kemari disuruh beli ini beli itu, ambil ini ambil itu, mana rumah becek banget lagi. Kang paket kaga ngantar-ngantar paket gara-gara di rumah ada acara. Buset dah, air juga kaga ada alias ga jalan😭 Gusti, aing maung🐯🐅",not hate,not hate,not hate
USER Ya trus apa ath kk Kn army emang fkus ke indigo nominasi no.2 mah tpi dday ngjar trus siapa klau bkan solos?? Masa jurig yg vote dday untuk ngjar indigo,not hate,not hate,not hate
"USER USER Mana aja bebas, aing butuh alam dan hijau hijau",not hate,not hate,not hate
USER Lebok siah USER jadi viral dan goreng ngaran maneh. 🤣🤣,not hate,not hate,not hate
USER kan gua taunya lu jurig wkwkwkk,not hate,hate,not hate
USER Gue ngakak liat nya😭😂 tu admin ngajakin member nya vote jurig kah?🤣,not hate,not hate,not hate
"Nah, kalau udah ada kaum kita yg disitu, silahkan hujat...
Btw, lu kemane belekok? USER",not hate,hate,hate
Tentu saja lagu aing sendiri 🤟 https://t.co/i8dmijxmHP,not hate,not hate,not hate
"pas nganjuk pikarunyaeun, pas ditagih pikasebeleun 🫠",not hate,not hate,not hate
"USER gue lagi nyari tontonan jurig gk ada yg bagus, basi semua alur cerita slalu monoton",not hate,not hate,not hate
USER Terlalu mau semuanya rapi tertata. Ini justru bikin gw bingung sendiri koplok wkwkwk,not hate,not hate,not hate
"USER PEPEK SI BETRIKNYA GAMAU MAJU YA JMBUT, PADAHAL GUE UDAH PASANG BADAN, DIA RECALL"" TRS SAMPE GUE MATI KANJUT, GA BISA BACA SITUASI BGT PPEK",hate,not hate,hate
"USER yg harimau putih lucu nder, nanti mengeluarkan suara aing maung aing maung",not hate,not hate,not hate
"bodoh banget sih jadi orang udah tau dia itu gak ada rasa buat km dia itu sukanya sama yang lain bukan kamu, dasar bodoh tolol blegug",not hate,hate,hate
"wahh gila lu anjing lu kalo mau nistain bias yaudah nistain aja bias lo sendiri, kenapa harus bawa² bias gua or bias orng lain? otak lu dimana tolol otak dipake jngn dipajang doang gaguna tot ngentot ngeselin amat si lu BLEGUG JDI JLEMA JANGAN KAYA KANJUT",hate,hate,hate
USER USER Bisa tebak kalo pikirannya jajan terus si kunti bogel alias kamel. Kalo anak jurig alias alder kebagian diemnya vallis aja,hate,hate,hate
"lagu desember ga cuma nikdip, sama tolong aing cape dengerin lagu lampu merah sileweran",not hate,not hate,not hate
USER USER Berati emang pemerintahan ini ga becus ngurus negara. Kalo ga viral ga bakalan ditindak kanjut.,hate,hate,hate
USER Yang ada lu digulung sama jurig samak!!!,not hate,not hate,not hate
USER DARMANA LU TAU KEHED WEH DASAR ORANG PALEMBANG,hate,hate,hate
USER Kikil aing icip² doang hrs ada lauk utama nya😅,not hate,not hate,not hate
lagi ngerjain tugas trs ngantuk trs dengerin playlist aing yg mixed feeling = nangis,not hate,not hate,not hate
"USER Yay, gak serem kok. Setannya juga bukan yang jurig jelek gitu",not hate,not hate,not hate
Nah yang gini nih aing demen. padahalmah cara dapet duit dari #Web3 bukan cuma jadi erdroper,not hate,not hate,not hate
"USER keneh keneh kehed sateh dedi! mending balik ngonten aja, lu!",not hate,hate,hate
USER bzink aku kaget cuk ada jurig,not hate,not hate,not hate
USER Raja kehed... USER  . Emang beras naik yg nikmatin petani. Tukang ngibul. Beras naik yg seneng ya mafia beras.,not hate,hate,hate
"USER yh untungny sadar stlh 3 jam pingsan sih y kl gk sadar trs ini sp yg reply tweet u. masa aing kasambet di kmr mndi sih bel ngaco bener, aing nyaho sih di kmr mndi loba jurig tp DIBAWA JALAN JALAN GAK MASUK AKAL BJIR",not hate,not hate,not hate
